DATE,DJTA
2013-03-01,6176.8173684210526316
2013-04-01,6073.4450000000000000
2013-05-01,6370.3118181818181818
2013-06-01,6225.1090000000000000
2013-07-01,6420.1800000000000000
2013-08-01,6438.6713636363636364
2013-09-01,6555.0695000000000000
2013-10-01,6767.4382608695652174
2013-11-01,7130.9885000000000000
2013-12-01,7220.9404761904761905
2014-01-01,7362.1066666666666667
2014-02-01,7235.2800000000000000
2014-03-01,7512.0242857142857143
2014-04-01,7587.8433333333333333
2014-05-01,7854.6052380952380952
2014-06-01,8135.3580952380952381
2014-07-01,8308.7363636363636364
2014-08-01,8272.8152380952380952
2014-09-01,8534.1685714285714286
2014-10-01,8308.9213043478260870
2014-11-01,9033.8200000000000000
2014-12-01,9025.6927272727272727
2015-01-01,8853.5935000000000000
2015-02-01,9005.2131578947368421
2015-03-01,8942.9354545454545455
2015-04-01,8725.1204761904761905
2015-05-01,8592.7500000000000000
2015-06-01,8360.9986363636363636
2015-07-01,8214.7668181818181818
2015-08-01,8134.1728571428571429
2015-09-01,7929.7804761904761905
2015-10-01,8117.1509090909090909
2015-11-01,8174.0425000000000000
2015-12-01,7658.2068181818181818
2016-01-01,6871.6889473684210526
2016-02-01,7133.1020000000000000
2016-03-01,7771.2359090909090909
2016-04-01,7919.7080952380952381
2016-05-01,7700.8542857142857143
2016-06-01,7615.7259090909090909
2016-07-01,7817.1395000000000000
2016-08-01,7845.2869565217391304
2016-09-01,7913.2785714285714286
2016-10-01,8054.3128571428571429
2016-11-01,8622.4461904761904762
2016-12-01,9207.6309523809523810
2017-01-01,9192.8795000000000000
2017-02-01,9368.9084210526315789
2017-03-01,9183.5726086956521739
2017-04-01,9096.5331578947368421
2017-05-01,9058.9072727272727273
2017-06-01,9382.3209090909090909
2017-07-01,9542.7390000000000000
2017-08-01,9208.8304347826086957
2017-09-01,9573.3105000000000000
2017-10-01,9901.7722727272727273
2017-11-01,9665.6838095238095238
2017-12-01,10463.4245000000000000
2018-01-01,11106.027619047619
2018-02-01,10471.6936842105263158
2018-03-01,10477.684285714286
2018-04-01,10427.7719047619047619
2018-05-01,10631.892727272727
2018-06-01,10794.999047619048
2018-07-01,10663.545238095238
2018-08-01,11220.342173913043
2018-09-01,11443.247894736842
2018-10-01,10604.275217391304
2018-11-01,10507.119047619048
2018-12-01,9544.0526315789473684
2019-01-01,9657.1623809523809524
2019-02-01,10426.4021052631578947
2019-03-01,10262.8380952380952381
2019-04-01,10816.570476190476
2019-05-01,10427.1327272727272727
2019-06-01,10222.2220000000000000
2019-07-01,10581.913636363636
2019-08-01,10053.4363636363636364
2019-09-01,10474.0345000000000000
2019-10-01,10376.8156521739130435
2019-11-01,10907.534500000000
2019-12-01,10779.326190476190
2020-01-01,10993.959523809524
2020-02-01,10615.794210526316
2020-03-01,7940.9527272727272727
2020-04-01,8002.8057142857142857
2020-05-01,8307.7420000000000000
2020-06-01,9249.4040909090909091
2020-07-01,9599.9477272727272727
2020-08-01,10828.989047619048
2020-09-01,11292.653809523810
2020-10-01,11603.374090909091
2020-11-01,12095.648500000000
2020-12-01,12568.765909090909
2021-01-01,12735.788947368421
2021-02-01,13023.007894736842
2021-03-01,14034.334347826087
2021-04-01,14990.105238095238
2021-05-01,15663.680000000000
2021-06-01,15157.230909090909
2021-07-01,14670.009047619048
2021-08-01,14669.188636363636
2021-09-01,14387.206190476190
2021-10-01,15122.751428571429
2021-11-01,16619.934761904762
2021-12-01,16140.205000000000
2022-01-01,15726.619500000000
2022-02-01,15199.740000000000
2022-03-01,15843.722608695652
2022-04-01,14977.021000000000
2022-05-01,14343.370000000000
2022-06-01,13546.683809523810
2022-07-01,13553.125500000000
2022-08-01,14658.318260869565
2022-09-01,13081.521428571429
2022-10-01,12876.960000000000
2022-11-01,14079.671428571429
2022-12-01,13802.052857142857
2023-01-01,14174.204500000000
2023-02-01,15109.421578947368
